"participant"	"trial"	"freq"	"rt"
"Participant 1"	1	"High"	0.241472209689933
"Participant 1"	2	"High"	0.338082602406094
"Participant 1"	3	"High"	0.118598003370844
"Participant 1"	4	"High"	0.336216893907636
"Participant 1"	5	"High"	0.0424042324876304
"Participant 1"	6	"Low"	0.467891283467182
"Participant 1"	7	"Low"	0.360098548865104
"Participant 1"	8	"Low"	0.177193581130397
"Participant 1"	9	"Low"	0.61166671757513
"Participant 1"	10	"Low"	0.227043175333019
"Participant 2"	1	"High"	0.530372751713087
"Participant 2"	2	"High"	0.395356546782232
"Participant 2"	3	"High"	0.207716498770594
"Participant 2"	4	"High"	0.0759367470921988
"Participant 2"	5	"High"	0.156575689838644
"Participant 2"	6	"Low"	0.84975656439517
"Participant 2"	7	"Low"	1.18622271343189
"Participant 2"	8	"Low"	1.10740202331187
"Participant 2"	9	"Low"	0.962394196616847
"Participant 2"	10	"Low"	0.922495261427033
"Participant 3"	1	"High"	0.679151426988894
"Participant 3"	2	"High"	0.629491494753386
"Participant 3"	3	"High"	0.119483228061424
"Participant 3"	4	"High"	0.437166006918556
"Participant 3"	5	"High"	0.46166870210682
"Participant 3"	6	"Low"	1.8091169737704
"Participant 3"	7	"Low"	1.88684411558655
"Participant 3"	8	"Low"	1.66704874784502
"Participant 3"	9	"Low"	1.47855293369358
"Participant 3"	10	"Low"	1.72675641024434
"Participant 4"	1	"High"	0.99810123120737
"Participant 4"	2	"High"	0.741308448948006
"Participant 4"	3	"High"	0.785387453145669
"Participant 4"	4	"High"	1.14738529333631
"Participant 4"	5	"High"	0.791869345325377
"Participant 4"	6	"Low"	2.2991955388049
"Participant 4"	7	"Low"	2.61867373634884
"Participant 4"	8	"Low"	2.45476635328786
"Participant 4"	9	"Low"	2.53983379190374
"Participant 4"	10	"Low"	2.22310563029934
"Participant 5"	1	"High"	1.38734718203121
"Participant 5"	2	"High"	1.50124813742174
"Participant 5"	3	"High"	1.63862391711638
"Participant 5"	4	"High"	1.39974848451069
"Participant 5"	5	"High"	1.66877875693099
"Participant 5"	6	"Low"	3.35926155272859
"Participant 5"	7	"Low"	3.37186381362313
"Participant 5"	8	"Low"	3.55321355428989
"Participant 5"	9	"Low"	3.32347821123265
"Participant 5"	10	"Low"	3.41622227139995
